,price,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_basement,yr_built,condition,grade,renovated,zipcode_cluster,waterfront_1,view_1,view_2,view_3,view_4
0,12.309982108920686,3,1.0,1180,5650,0,1955,3,7,0,1,0,0,0,0,0
1,13.195613839143922,3,2.25,2570,7242,400,1951,3,7,1,1,0,0,0,0,0
2,12.100712129872347,2,1.0,770,10000,0,1933,3,6,0,1,0,0,0,0,0
3,13.311329476916953,4,3.0,1960,5000,910,1965,5,7,0,2,0,0,0,0,0
4,13.142166004700508,3,2.0,1680,8080,0,1987,3,8,0,2,0,0,0,0,0
5,14.018451401960965,4,4.5,5420,101930,1530,2001,3,11,0,2,0,0,0,0,0
6,12.458774999085929,3,2.25,1715,6819,0,1995,3,7,0,1,0,0,0,0,0
7,12.583995250631936,3,1.5,1060,9711,0,1963,3,7,0,1,0,0,0,0,0
8,12.343658308482738,3,1.0,1780,7470,730,1960,3,7,0,1,0,0,0,0,0
9,12.685407602204794,3,2.5,1890,6560,0,2003,3,7,0,1,0,0,0,0,0
10,13.403775836842515,3,2.5,3560,9796,1700,1965,3,8,0,2,0,0,0,0,0
11,13.056223574899784,2,1.0,1160,6000,300,1942,4,7,0,2,0,0,0,0,0
12,12.644327576461329,3,1.0,1430,19901,0,1927,4,7,0,1,0,0,0,0,0
13,12.89921982609012,3,1.75,1370,9680,0,1977,4,7,0,2,0,0,0,0,0
14,13.180632285528304,5,2.0,1810,4850,0,1900,3,7,0,2,0,0,0,0,0
15,13.38472764187182,4,3.0,2950,5000,970,1979,3,9,0,1,0,0,0,1,0
16,12.886641043883259,3,2.0,1890,14040,0,1994,3,7,0,1,0,0,0,0,0
17,13.091904169919621,4,1.0,1600,4300,0,1916,4,7,0,2,0,0,0,0,0
18,12.14950229404178,2,1.0,1200,9850,0,1921,4,7,0,1,0,0,0,0,0
19,12.345834587905333,3,1.0,1250,9774,0,1969,4,7,0,1,0,0,0,0,0
20,12.86099861326992,4,1.75,1620,4980,760,1947,4,7,0,1,0,0,0,0,0
21,14.508657738524219,3,2.75,3050,44867,720,1968,3,9,0,4,0,0,0,0,1
22,12.560244459250788,5,2.5,2270,6300,0,1995,3,8,0,1,0,0,0,0,0
23,12.439958293376286,2,1.5,1070,9643,0,1985,3,7,0,1,0,0,0,0,0
24,12.70381302974751,3,2.25,2450,6500,0,1985,4,8,0,1,0,0,0,0,0
25,12.358793732547838,3,2.0,1710,4697,0,1941,5,6,0,1,0,0,0,0,0
26,13.750438561220559,3,1.75,2450,2691,700,1915,3,8,0,3,0,0,0,0,0
27,13.410545324897761,3,1.0,1400,1581,0,1909,5,8,0,4,0,0,0,0,0
28,12.989974189358584,3,1.75,1520,6380,730,1948,3,7,0,2,0,0,0,0,0
